Company Name,Website,Industry,Location,Employee Range
Stripe,stripe.com,Financial Technology,San Francisco,1000-5000
Shopify,shopify.com,E-commerce,Ottawa,5000-10000
Notion,notion.so,Productivity Software,San Francisco,100-500
Figma,figma.com,Design Software,San Francisco,500-1000
Vercel,vercel.com,Cloud Platform,San Francisco,100-500
Supabase,supabase.com,Database Platform,Singapore,50-100
Linear,linear.app,Project Management,San Francisco,50-100
Retool,retool.com,Internal Tools,San Francisco,100-500
Airtable,airtable.com,Database Software,San Francisco,500-1000
Webflow,webflow.com,Website Builder,San Francisco,500-1000
